transaction_id,customer_id,product_id,transaction_date,quantity,price,Revenue,Discount_Amount,Net_Revenue,payment_method,payment_status
1,642,108,2025-12-06,3,15000.0,45000.0,4500.0,40500.0,UPI,successful
2,881,102,2025-07-21,5,70000.0,350000.0,122500.0,227500.0,Card,successful
3,505,109,2025-07-11,2,65000.0,130000.0,6500.0,123500.0,UPI,successful
4,794,106,2025-10-06,2,80000.0,160000.0,8000.0,152000.0,UPI,successful
5,864,108,2025-12-12,1,15000.0,15000.0,750.0,14250.0,Cash,successful
6,181,101,2025-07-25,5,250000.0,1250000.0,437500.0,812500.0,NetBanking,successful
7,142,101,2026-03-03,2,250000.0,500000.0,25000.0,475000.0,UPI,successful
8,457,102,2026-02-19,1,70000.0,70000.0,3500.0,66500.0,Card,successful
9,749,110,2025-08-30,3,45000.0,135000.0,40500.0,94500.0,Card,successful
10,146,102,2025-12-16,2,70000.0,140000.0,56000.0,84000.0,UPI,successful
11,946,104,2025-12-15,4,8000.0,32000.0,9600.0,22400.0,Card,successful
12,757,106,2025-06-30,3,80000.0,240000.0,60000.0,180000.0,UPI,successful
13,838,109,2025-06-14,5,65000.0,325000.0,113750.0,211250.0,Cash,successful
14,117,109,2026-02-24,5,65000.0,325000.0,65000.0,260000.0,Card,successful
15,923,109,2026-01-31,5,65000.0,325000.0,81250.0,243750.0,UPI,successful
16,765,104,2025-08-20,5,8000.0,40000.0,6000.0,34000.0,NetBanking,successful
17,570,102,2025-05-19,3,70000.0,210000.0,31500.0,178500.0,NetBanking,successful
18,973,108,2025-05-15,2,15000.0,30000.0,4500.0,25500.0,Card,successful
19,786,103,2025-09-07,4,1300.0,5200.0,1040.0,4160.0,Cash,successful
20,576,104,2025-07-05,1,8000.0,8000.0,1200.0,6800.0,Card,successful
21,256,109,2025-12-10,3,65000.0,195000.0,9750.0,185250.0,UPI,successful
22,737,109,2025-03-11,4,65000.0,260000.0,104000.0,156000.0,UPI,successful
23,104,108,2026-04-15,2,15000.0,30000.0,7500.0,22500.0,UPI,successful
24,799,108,2025-05-16,3,15000.0,45000.0,11250.0,33750.0,Cash,successful
25,249,102,2025-08-29,1,70000.0,70000.0,21000.0,49000.0,Card,successful
26,149,106,2026-01-28,1,80000.0,80000.0,4000.0,76000.0,Cash,successful
27,927,105,2025-11-13,5,45000.0,225000.0,45000.0,180000.0,UPI,successful
28,868,107,2025-11-12,1,50000.0,50000.0,15000.0,35000.0,Card,successful
29,1,109,2025-06-28,2,65000.0,130000.0,39000.0,91000.0,Card,successful
30,980,106,2025-07-10,5,80000.0,400000.0,20000.0,380000.0,Card,successful
31,455,107,2025-06-03,4,50000.0,200000.0,60000.0,140000.0,NetBanking,successful
32,367,105,2025-11-14,4,45000.0,180000.0,72000.0,108000.0,Cash,successful
34,968,107,2025-11-09,4,50000.0,200000.0,30000.0,170000.0,Cash,successful
35,390,110,2025-05-25,2,45000.0,90000.0,9000.0,81000.0,Card,successful
36,528,102,2025-07-19,2,70000.0,140000.0,14000.0,126000.0,NetBanking,successful
37,46,103,2026-01-07,3,1300.0,3900.0,390.0,3510.0,UPI,successful
38,437,104,2026-01-21,1,8000.0,8000.0,2000.0,6000.0,Cash,successful
39,234,104,2025-12-01,1,8000.0,8000.0,800.0,7200.0,Cash,successful
40,391,103,2026-08-03,2,1300.0,2600.0,780.0,1820.0,NetBanking,successful
41,743,103,2025-12-22,3,1300.0,3900.0,390.0,3510.0,NetBanking,successful
42,17,105,2025-07-11,2,45000.0,90000.0,27000.0,63000.0,Cash,successful
43,861,105,2025-05-26,5,45000.0,225000.0,90000.0,135000.0,Card,successful
44,213,104,2025-05-14,3,8000.0,24000.0,6000.0,18000.0,Card,successful
45,220,104,2025-11-23,4,8000.0,32000.0,4800.0,27200.0,Cash,successful
46,463,104,2025-04-27,5,8000.0,40000.0,4000.0,36000.0,UPI,successful
47,429,101,2025-08-27,4,250000.0,1000000.0,100000.0,900000.0,NetBanking,successful
48,222,108,2025-07-11,1,15000.0,15000.0,3750.0,11250.0,Cash,successful
49,971,103,2025-07-10,5,1300.0,6500.0,1300.0,5200.0,UPI,successful
50,670,106,2025-05-31,5,80000.0,400000.0,60000.0,340000.0,UPI,successful
51,485,107,2025-07-12,2,50000.0,100000.0,10000.0,90000.0,Card,successful
52,883,104,2025-07-17,1,8000.0,8000.0,3200.0,4800.0,Card,successful
53,202,103,2025-11-03,1,1300.0,1300.0,195.0,1105.0,Card,successful
54,817,107,2025-07-25,3,50000.0,150000.0,37500.0,112500.0,Cash,successful
55,801,104,2025-10-01,5,8000.0,40000.0,12000.0,28000.0,UPI,successful
56,284,104,2026-02-20,2,8000.0,16000.0,6400.0,9600.0,NetBanking,successful
57,72,105,2025-12-31,5,45000.0,225000.0,45000.0,180000.0,Cash,successful
58,873,101,2025-10-28,3,250000.0,750000.0,112500.0,637500.0,UPI,successful
59,854,108,2025-07-13,3,15000.0,45000.0,6750.0,38250.0,NetBanking,successful
60,874,106,2025-05-20,5,80000.0,400000.0,100000.0,300000.0,UPI,successful
61,507,104,2025-12-23,2,8000.0,16000.0,4800.0,11200.0,Cash,successful
62,736,104,2025-06-07,4,8000.0,32000.0,1600.0,30400.0,NetBanking,successful
63,182,107,2026-02-25,5,50000.0,250000.0,87500.0,162500.0,NetBanking,successful
64,341,110,2025-12-14,3,45000.0,135000.0,13500.0,121500.0,NetBanking,successful
65,937,108,2025-04-22,2,15000.0,30000.0,7500.0,22500.0,NetBanking,successful
66,164,104,2025-04-16,2,8000.0,16000.0,4800.0,11200.0,Card,successful
67,188,109,2026-04-04,3,65000.0,195000.0,58500.0,136500.0,Cash,successful
68,603,104,2025-09-30,4,8000.0,32000.0,4800.0,27200.0,Card,successful
69,656,104,2025-08-29,1,8000.0,8000.0,800.0,7200.0,NetBanking,successful
70,687,110,2026-04-05,1,45000.0,45000.0,4500.0,40500.0,UPI,successful
71,186,105,2026-01-23,2,45000.0,90000.0,27000.0,63000.0,Card,successful
72,865,102,2026-04-07,1,70000.0,70000.0,14000.0,56000.0,UPI,successful
73,523,101,2026-03-09,4,250000.0,1000000.0,100000.0,900000.0,Card,successful
75,729,108,2025-08-10,1,15000.0,15000.0,1500.0,13500.0,NetBanking,successful
78,874,104,2025-06-11,4,8000.0,32000.0,3200.0,28800.0,Cash,successful
79,977,102,2025-05-16,5,70000.0,350000.0,105000.0,245000.0,UPI,successful
80,735,108,2025-06-20,5,15000.0,75000.0,3750.0,71250.0,Cash,successful
81,704,107,2026-04-14,5,50000.0,250000.0,62500.0,187500.0,UPI,successful
82,578,101,2025-06-18,4,250000.0,1000000.0,400000.0,600000.0,NetBanking,successful
83,11,110,2025-06-28,3,45000.0,135000.0,27000.0,108000.0,NetBanking,successful
84,379,105,2025-11-07,5,45000.0,225000.0,45000.0,180000.0,UPI,successful
85,108,101,2025-08-30,5,250000.0,1250000.0,125000.0,1125000.0,Card,successful
86,427,103,2026-01-09,4,1300.0,5200.0,260.0,4940.0,NetBanking,successful
87,454,102,2025-11-04,1,70000.0,70000.0,10500.0,59500.0,Cash,successful
88,975,110,2026-02-02,3,45000.0,135000.0,27000.0,108000.0,Card,successful
89,992,107,2025-12-20,5,50000.0,250000.0,37500.0,212500.0,Cash,successful
90,439,102,2026-03-24,3,70000.0,210000.0,84000.0,126000.0,Card,successful
91,645,102,2026-01-05,1,70000.0,70000.0,28000.0,42000.0,Cash,successful
92,728,108,2026-03-28,1,15000.0,15000.0,750.0,14250.0,NetBanking,successful
93,403,102,2025-12-16,5,70000.0,350000.0,52500.0,297500.0,UPI,successful
94,50,104,2025-02-11,4,8000.0,32000.0,8000.0,24000.0,Cash,successful
95,478,107,2025-07-18,1,50000.0,50000.0,20000.0,30000.0,Cash,successful
96,153,110,2025-12-27,1,45000.0,45000.0,6750.0,38250.0,Card,successful
98,372,105,2025-10-31,5,45000.0,225000.0,33750.0,191250.0,UPI,successful
99,753,102,2025-10-07,3,70000.0,210000.0,31500.0,178500.0,Card,successful
100,864,109,2025-04-20,1,65000.0,65000.0,9750.0,55250.0,UPI,successful
101,645,102,2026-02-19,1,70000.0,70000.0,17500.0,52500.0,Card,successful
102,1000,103,2025-05-30,3,1300.0,3900.0,585.0,3315.0,NetBanking,successful
103,909,105,2025-09-05,3,45000.0,135000.0,47250.0,87750.0,Cash,successful
104,788,107,2025-06-30,2,50000.0,100000.0,15000.0,85000.0,UPI,successful
105,713,107,2026-02-26,1,50000.0,50000.0,2500.0,47500.0,NetBanking,successful
106,54,105,2026-02-27,2,45000.0,90000.0,4500.0,85500.0,Card,successful
107,89,106,2025-03-09,4,80000.0,320000.0,112000.0,208000.0,UPI,successful
108,724,103,2025-06-22,4,1300.0,5200.0,1820.0,3380.0,Card,successful
109,128,104,2026-02-03,3,8000.0,24000.0,4800.0,19200.0,Card,successful
110,264,107,2025-08-25,2,50000.0,100000.0,20000.0,80000.0,Cash,successful
111,637,106,2026-02-18,5,80000.0,400000.0,40000.0,360000.0,Cash,successful
112,381,102,2025-09-14,1,70000.0,70000.0,10500.0,59500.0,Cash,successful
113,286,108,2026-01-12,4,15000.0,60000.0,24000.0,36000.0,NetBanking,successful
114,484,101,2025-04-07,3,250000.0,750000.0,187500.0,562500.0,NetBanking,successful
115,270,107,2025-12-16,1,50000.0,50000.0,5000.0,45000.0,Card,successful
116,756,103,2025-11-22,4,1300.0,5200.0,1040.0,4160.0,NetBanking,successful
117,937,107,2025-07-28,4,50000.0,200000.0,70000.0,130000.0,NetBanking,successful
118,206,105,2025-04-18,1,45000.0,45000.0,18000.0,27000.0,UPI,successful
119,822,101,2026-02-24,2,250000.0,500000.0,125000.0,375000.0,NetBanking,successful
120,618,110,2025-09-23,5,45000.0,225000.0,56250.0,168750.0,Card,successful
121,175,109,2025-05-30,1,65000.0,65000.0,16250.0,48750.0,Card,successful
122,549,102,2025-05-17,4,70000.0,280000.0,42000.0,238000.0,Cash,successful
123,387,110,2025-06-30,5,45000.0,225000.0,67500.0,157500.0,UPI,successful
124,592,104,2026-03-04,3,8000.0,24000.0,8400.0,15600.0,Card,successful
125,580,107,2025-10-13,2,50000.0,100000.0,25000.0,75000.0,Card,successful
126,17,101,2026-02-25,1,250000.0,250000.0,37500.0,212500.0,Card,successful
127,115,101,2026-03-24,1,250000.0,250000.0,100000.0,150000.0,UPI,successful
128,710,101,2025-07-22,3,250000.0,750000.0,225000.0,525000.0,Cash,successful
129,150,104,2026-01-17,5,8000.0,40000.0,16000.0,24000.0,Cash,successful
130,149,103,2025-11-23,1,1300.0,1300.0,195.0,1105.0,Card,successful
131,274,107,2026-01-06,1,50000.0,50000.0,7500.0,42500.0,UPI,successful
132,173,109,2025-06-07,2,65000.0,130000.0,52000.0,78000.0,UPI,successful
134,702,108,2025-09-30,1,15000.0,15000.0,750.0,14250.0,UPI,successful
135,362,101,2025-11-25,5,250000.0,1250000.0,250000.0,1000000.0,Cash,successful
136,863,101,2025-05-24,1,250000.0,250000.0,37500.0,212500.0,Card,successful
137,38,103,2026-02-08,4,1300.0,5200.0,260.0,4940.0,Card,successful
138,432,103,2026-02-22,4,1300.0,5200.0,2080.0,3120.0,NetBanking,successful
139,907,109,2026-02-17,4,65000.0,260000.0,13000.0,247000.0,NetBanking,successful
140,400,101,2025-06-09,4,250000.0,1000000.0,100000.0,900000.0,NetBanking,successful
141,180,103,2025-11-07,4,1300.0,5200.0,520.0,4680.0,Card,successful
142,137,107,2025-09-26,1,50000.0,50000.0,7500.0,42500.0,Cash,successful
143,313,107,2026-12-04,3,50000.0,150000.0,52500.0,97500.0,UPI,successful
144,718,103,2026-03-21,2,1300.0,2600.0,260.0,2340.0,Card,successful
145,975,109,2026-01-12,3,65000.0,195000.0,19500.0,175500.0,Card,successful
146,311,103,2025-10-29,2,1300.0,2600.0,260.0,2340.0,NetBanking,successful
147,111,107,2025-09-08,4,50000.0,200000.0,70000.0,130000.0,Card,successful
148,139,104,2025-07-09,3,8000.0,24000.0,6000.0,18000.0,NetBanking,successful
149,644,102,2026-04-04,4,70000.0,280000.0,56000.0,224000.0,Card,successful
150,917,105,2025-04-11,2,45000.0,90000.0,36000.0,54000.0,Cash,successful
151,294,101,2026-04-01,1,250000.0,250000.0,100000.0,150000.0,NetBanking,successful
152,171,105,2025-06-26,1,45000.0,45000.0,13500.0,31500.0,NetBanking,successful
153,1,108,2026-04-10,3,15000.0,45000.0,6750.0,38250.0,NetBanking,successful
154,835,102,2026-01-31,4,70000.0,280000.0,84000.0,196000.0,UPI,successful
155,363,105,2025-06-07,3,45000.0,135000.0,13500.0,121500.0,Card,successful
156,334,109,2025-05-11,5,65000.0,325000.0,97500.0,227500.0,Card,successful
157,39,102,2026-01-03,1,70000.0,70000.0,17500.0,52500.0,UPI,successful
158,892,110,2026-02-17,4,45000.0,180000.0,27000.0,153000.0,Card,successful
159,570,103,2025-05-08,1,1300.0,1300.0,260.0,1040.0,Cash,successful
160,152,109,2025-06-06,3,65000.0,195000.0,29250.0,165750.0,Cash,successful
161,944,104,2025-08-29,3,8000.0,24000.0,2400.0,21600.0,Cash,successful
162,197,103,2025-11-15,5,1300.0,6500.0,1625.0,4875.0,NetBanking,successful
163,256,104,2025-10-08,2,8000.0,16000.0,2400.0,13600.0,NetBanking,successful
164,993,109,2025-04-21,2,65000.0,130000.0,26000.0,104000.0,Card,successful
165,525,106,2025-08-09,1,80000.0,80000.0,4000.0,76000.0,Cash,successful
166,976,101,2025-11-13,5,250000.0,1250000.0,312500.0,937500.0,UPI,successful
167,820,103,2026-03-09,3,1300.0,3900.0,780.0,3120.0,Card,successful
168,92,101,2025-06-03,5,250000.0,1250000.0,312500.0,937500.0,Card,successful
169,721,102,2025-10-31,5,70000.0,350000.0,122500.0,227500.0,Cash,successful
170,893,110,2025-04-29,4,45000.0,180000.0,36000.0,144000.0,UPI,successful
171,871,102,2026-01-20,3,70000.0,210000.0,42000.0,168000.0,UPI,successful
172,5,103,2025-04-16,5,1300.0,6500.0,1950.0,4550.0,Cash,successful
